freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.034e+02,2.609e+01,1.311e+01,8.426e+02
1.6,5.623e+02,1.290e+02,3.252e+01,7.238e+02
3.1,1.414e+02,1.268e+02,3.515e+01,3.033e+02
4.7,4.525e+02,1.494e+02,3.726e+01,6.392e+02
6.2,1.224e+03,1.253e+02,3.740e+01,1.387e+03
7.8,1.933e+03,1.311e+02,4.002e+01,2.105e+03
9.3,2.693e+03,1.596e+02,3.791e+01,2.890e+03
10.9,3.549e+03,1.552e+02,3.907e+01,3.743e+03
12.4,4.657e+03,1.458e+02,3.541e+01,4.838e+03
14.0,5.965e+03,1.540e+02,3.726e+01,6.156e+03
15.5,7.525e+03,1.520e+02,4.101e+01,7.718e+03
17.1,9.374e+03,1.545e+02,5.133e+01,9.580e+03
18.6,1.126e+04,1.625e+02,9.043e+01,1.151e+04
20.2,1.301e+04,1.573e+02,1.639e+02,1.333e+04
21.7,1.561e+04,1.669e+02,1.971e+02,1.597e+04
23.3,1.812e+04,1.538e+02,2.003e+02,1.847e+04
24.8,1.857e+04,1.562e+02,1.646e+02,1.889e+04
26.4,1.747e+04,1.849e+02,1.192e+02,1.777e+04
27.9,1.807e+04,1.857e+02,1.013e+02,1.836e+04
29.5,2.057e+04,1.657e+02,8.228e+01,2.081e+04
31.1,2.425e+04,1.540e+02,7.822e+01,2.448e+04
32.6,2.837e+04,1.903e+02,9.860e+01,2.866e+04
34.2,3.204e+04,2.001e+02,1.208e+02,3.236e+04
35.7,3.494e+04,1.530e+02,1.340e+02,3.523e+04
37.3,3.818e+04,1.350e+02,1.397e+02,3.845e+04
38.8,4.172e+04,1.655e+02,1.225e+02,4.201e+04
40.4,4.549e+04,2.037e+02,9.961e+01,4.580e+04
41.9,5.073e+04,1.693e+02,1.058e+02,5.100e+04
43.5,5.527e+04,1.286e+02,9.954e+01,5.550e+04
45.0,5.983e+04,1.359e+02,8.062e+01,6.005e+04
46.6,6.804e+04,1.169e+02,8.086e+01,6.824e+04
48.1,7.586e+04,1.012e+02,9.219e+01,7.605e+04
49.7,8.108e+04,1.472e+02,9.377e+01,8.132e+04
51.2,8.819e+04,1.775e+02,9.430e+01,8.846e+04
52.8,9.902e+04,1.691e+02,8.302e+01,9.927e+04
54.3,1.106e+05,1.594e+02,7.465e+01,1.109e+05
55.9,1.215e+05,1.537e+02,7.457e+01,1.217e+05
57.4,1.299e+05,1.349e+02,7.141e+01,1.301e+05
59.0,1.439e+05,1.463e+02,7.275e+01,1.441e+05
60.5,1.682e+05,1.050e+02,7.104e+01,1.684e+05
62.1,1.963e+05,1.100e+02,8.567e+01,1.965e+05
63.7,2.264e+05,1.290e+02,1.038e+02,2.266e+05
65.2,2.705e+05,1.236e+02,1.328e+02,2.708e+05
66.8,3.142e+05,1.322e+02,1.261e+02,3.145e+05
68.3,3.544e+05,1.558e+02,9.377e+01,3.547e+05
69.9,4.050e+05,1.908e+02,1.748e+02,4.054e+05
71.4,4.278e+05,2.169e+02,5.514e+02,4.286e+05
73.0,4.371e+05,2.461e+02,1.071e+03,4.384e+05
74.5,4.448e+05,2.737e+02,1.581e+03,4.467e+05
76.1,4.652e+05,3.111e+02,2.550e+03,4.680e+05
77.6,5.200e+05,3.667e+02,4.308e+03,5.247e+05
79.2,6.182e+05,4.291e+02,7.413e+03,6.260e+05
80.7,7.560e+05,4.750e+02,1.426e+04,7.708e+05
82.3,8.469e+05,5.918e+02,2.588e+04,8.733e+05
83.8,1.021e+06,7.764e+02,4.236e+04,1.064e+06
85.4,1.410e+06,1.107e+03,5.381e+04,1.465e+06
86.9,2.095e+06,1.572e+03,6.092e+04,2.157e+06
88.5,3.313e+06,2.107e+03,6.929e+04,3.384e+06
90.0,4.852e+06,2.992e+03,7.501e+04,4.931e+06
91.6,5.988e+06,3.846e+03,7.510e+04,6.067e+06
93.2,5.927e+06,4.187e+03,7.746e+04,6.009e+06
94.7,5.474e+06,3.869e+03,7.237e+04,5.551e+06
96.3,5.049e+06,3.430e+03,6.362e+04,5.116e+06
97.8,4.769e+06,3.115e+03,5.832e+04,4.831e+06
99.4,4.445e+06,2.535e+03,5.423e+04,4.502e+06
100.9,4.011e+06,1.947e+03,4.708e+04,4.060e+06
102.5,3.571e+06,1.576e+03,3.888e+04,3.611e+06
104.0,2.995e+06,1.204e+03,3.201e+04,3.028e+06
105.6,2.378e+06,7.574e+02,2.583e+04,2.404e+06
107.1,2.025e+06,5.932e+02,2.034e+04,2.046e+06
108.7,1.793e+06,4.847e+02,1.521e+04,1.809e+06
110.2,1.612e+06,3.995e+02,1.033e+04,1.623e+06
111.8,1.452e+06,3.277e+02,6.432e+03,1.459e+06
113.3,1.300e+06,2.733e+02,3.913e+03,1.304e+06
114.9,1.163e+06,2.329e+02,2.602e+03,1.165e+06
116.4,1.055e+06,1.802e+02,2.336e+03,1.057e+06
118.0,9.561e+05,1.977e+02,2.632e+03,9.589e+05
119.5,8.844e+05,2.038e+02,2.824e+03,8.874e+05
121.1,8.258e+05,2.170e+02,2.747e+03,8.287e+05
122.7,7.663e+05,2.113e+02,2.496e+03,7.690e+05
124.2,7.280e+05,2.167e+02,2.238e+03,7.304e+05
125.8,6.853e+05,2.027e+02,1.912e+03,6.874e+05
127.3,6.485e+05,2.055e+02,1.682e+03,6.504e+05
128.9,5.992e+05,2.295e+02,1.430e+03,6.008e+05
130.4,5.713e+05,2.561e+02,1.237e+03,5.728e+05
132.0,4.853e+05,2.635e+02,9.916e+02,4.866e+05
133.5,1.664e+05,1.766e+02,3.737e+02,1.669e+05
135.1,1.959e+04,1.440e+02,9.235e+01,1.983e+04
136.6,1.418e+04,1.392e+02,7.493e+01,1.440e+04
138.2,1.297e+04,1.480e+02,7.166e+01,1.318e+04
139.7,1.185e+04,1.560e+02,7.468e+01,1.208e+04
141.3,1.171e+04,1.235e+02,7.076e+01,1.190e+04
142.8,1.139e+04,1.205e+02,7.657e+01,1.158e+04
144.4,1.108e+04,1.661e+02,7.682e+01,1.133e+04
145.9,1.088e+04,1.494e+02,7.978e+01,1.111e+04
147.5,1.085e+04,1.292e+02,7.063e+01,1.105e+04
149.0,1.166e+04,1.186e+02,7.199e+01,1.185e+04
150.6,1.242e+04,1.444e+02,7.964e+01,1.265e+04
152.1,1.179e+04,1.292e+02,6.419e+01,1.199e+04
153.7,1.099e+04,1.496e+02,6.078e+01,1.120e+04
155.3,1.033e+04,1.602e+02,7.567e+01,1.056e+04
156.8,9.735e+03,1.367e+02,7.905e+01,9.950e+03
158.4,8.945e+03,1.403e+02,8.260e+01,9.168e+03
159.9,8.238e+03,1.535e+02,8.093e+01,8.472e+03
161.5,7.799e+03,1.728e+02,8.312e+01,8.055e+03
163.0,7.176e+03,1.459e+02,8.838e+01,7.411e+03
164.6,6.548e+03,1.173e+02,9.790e+01,6.763e+03
166.1,6.125e+03,1.373e+02,1.034e+02,6.366e+03
167.7,5.821e+03,1.227e+02,1.140e+02,6.058e+03
169.2,5.751e+03,1.389e+02,1.232e+02,6.013e+03
170.8,6.637e+03,1.525e+02,1.351e+02,6.925e+03
172.3,8.918e+03,1.474e+02,1.492e+02,9.215e+03
173.9,9.600e+03,1.431e+02,1.642e+02,9.907e+03
175.4,9.190e+03,1.515e+02,1.754e+02,9.517e+03
177.0,8.897e+03,1.835e+02,1.944e+02,9.274e+03
178.5,8.728e+03,1.657e+02,1.971e+02,9.091e+03
180.1,8.429e+03,1.854e+02,1.842e+02,8.799e+03
181.6,8.027e+03,2.169e+02,1.743e+02,8.418e+03
183.2,7.951e+03,1.911e+02,1.653e+02,8.307e+03
184.8,7.543e+03,1.648e+02,1.720e+02,7.879e+03
186.3,7.075e+03,1.608e+02,1.829e+02,7.418e+03
187.9,6.782e+03,1.823e+02,1.843e+02,7.148e+03
189.4,6.461e+03,1.846e+02,1.994e+02,6.845e+03
191.0,6.431e+03,2.048e+02,2.763e+02,6.912e+03
192.5,6.919e+03,2.362e+02,2.924e+02,7.448e+03
194.1,6.292e+03,2.300e+02,1.938e+02,6.716e+03
195.6,5.823e+03,1.879e+02,1.531e+02,6.164e+03
197.2,5.798e+03,1.618e+02,1.279e+02,6.087e+03
198.7,6.239e+03,1.650e+02,1.257e+02,6.530e+03
