freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.196e+01,3.937e+01,8.210e+02,8.723e+02
1.6,6.552e+01,7.952e+01,4.959e+02,6.410e+02
3.1,8.278e+01,8.065e+01,5.348e+01,2.169e+02
4.7,7.964e+01,8.677e+01,3.327e+02,4.991e+02
6.2,7.427e+01,1.630e+02,1.088e+03,1.325e+03
7.8,7.560e+01,2.207e+02,1.810e+03,2.106e+03
9.3,8.047e+01,2.848e+02,2.619e+03,2.985e+03
10.9,6.974e+01,3.832e+02,3.582e+03,4.035e+03
12.4,6.683e+01,4.823e+02,4.669e+03,5.219e+03
14.0,7.079e+01,6.161e+02,6.122e+03,6.809e+03
15.5,8.935e+01,7.908e+02,7.980e+03,8.861e+03
17.1,1.205e+02,9.939e+02,1.016e+04,1.128e+04
18.6,1.951e+02,1.086e+03,1.155e+04,1.283e+04
20.2,2.739e+02,9.739e+02,1.147e+04,1.272e+04
21.7,3.113e+02,1.154e+03,1.431e+04,1.578e+04
23.3,3.622e+02,1.402e+03,1.776e+04,1.952e+04
24.8,3.644e+02,1.372e+03,1.831e+04,2.005e+04
26.4,3.316e+02,1.235e+03,1.817e+04,1.974e+04
27.9,3.017e+02,1.276e+03,2.001e+04,2.158e+04
29.5,2.844e+02,1.470e+03,2.372e+04,2.548e+04
31.0,2.647e+02,1.682e+03,2.812e+04,3.006e+04
32.6,2.788e+02,1.947e+03,3.412e+04,3.635e+04
34.2,3.335e+02,2.365e+03,4.293e+04,4.562e+04
35.7,3.520e+02,3.358e+03,5.097e+04,5.468e+04
37.3,2.971e+02,4.519e+03,5.540e+04,6.022e+04
38.8,1.765e+02,4.682e+03,5.532e+04,6.018e+04
40.4,1.309e+02,3.781e+03,5.456e+04,5.847e+04
41.9,9.709e+01,3.703e+03,5.727e+04,6.107e+04
43.5,8.550e+01,4.155e+03,6.090e+04,6.514e+04
45.0,7.761e+01,4.788e+03,6.778e+04,7.264e+04
46.6,6.915e+01,5.764e+03,8.178e+04,8.762e+04
48.1,7.998e+01,6.584e+03,9.678e+04,1.034e+05
49.7,9.591e+01,7.165e+03,1.088e+05,1.160e+05
51.2,1.071e+02,8.028e+03,1.277e+05,1.359e+05
52.8,1.051e+02,9.524e+03,1.586e+05,1.682e+05
54.3,1.119e+02,1.159e+04,2.005e+05,2.122e+05
55.9,1.255e+02,1.365e+04,2.463e+05,2.601e+05
57.4,1.473e+02,1.542e+04,2.925e+05,3.080e+05
59.0,1.745e+02,1.866e+04,3.769e+05,3.957e+05
60.5,2.101e+02,2.434e+04,5.266e+05,5.511e+05
62.1,2.388e+02,3.143e+04,7.304e+05,7.620e+05
63.6,2.670e+02,4.142e+04,1.034e+06,1.076e+06
65.2,2.665e+02,5.626e+04,1.520e+06,1.577e+06
66.8,2.725e+02,6.935e+04,2.035e+06,2.105e+06
68.3,3.218e+02,8.042e+04,2.618e+06,2.699e+06
69.9,7.339e+02,9.841e+04,3.594e+06,3.694e+06
